# M_FACTOR=1.0
# Energy (eV),TDOS,S3S,S3P,S3D,C2S,C2P,C2D,N2S,N2P,N2D
-2415.238068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-393.493139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-393.012848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-387.203358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-280.773144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-279.869705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-279.328187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-278.915381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-278.582850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-277.126192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.595013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.473648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.332145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-213.427526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-158.044847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-157.825518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-157.817899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-30.484243,-0.001301,0.000057,0.000150,0.000000,-0.000823,-0.001152,0.000000,0.000170,0.000297,0.000000
-27.295541,-0.000202,0.000116,0.000061,0.000000,-0.000240,0.000106,0.000000,-0.000011,-0.000234,0.000000
-23.166392,0.000572,0.001723,0.000420,0.000001,-0.001251,-0.000904,0.000001,0.000112,0.000469,0.000001
-22.778077,0.943185,0.006981,-0.000778,0.000329,0.318980,0.059906,0.007618,0.462007,0.085317,0.002825
-22.348671,0.040578,0.000672,0.000643,0.000015,0.012727,0.000874,0.000387,0.020578,0.004542,0.000140
-21.664834,0.000753,0.000226,0.000276,0.000001,-0.000046,0.000176,0.000001,0.000057,0.000061,0.000000
-20.403558,0.000283,0.000184,-0.000067,0.000002,0.000151,-0.000118,0.000002,0.000073,0.000056,0.000000
-18.768661,0.000568,0.000190,0.000290,0.000004,-0.000721,-0.001234,0.000020,0.001078,0.000932,0.000009
-18.441300,0.000372,0.000216,-0.000030,0.000002,0.000098,0.000007,0.000006,0.000044,0.000026,0.000002
-18.294083,0.988254,0.628627,0.046961,0.005251,0.099948,0.149846,0.002132,0.060979,-0.005708,0.000218
-17.713924,0.002288,0.000377,0.000013,0.000004,0.000022,-0.000239,0.000003,0.000581,0.001518,0.000009
-16.635784,0.002524,0.000377,0.000088,0.000006,-0.000158,0.000666,0.000004,0.000557,0.000978,0.000006
-15.831125,0.001711,0.000823,-0.000225,0.000011,0.000616,0.000740,0.000024,-0.000042,-0.000239,0.000003
-15.124430,0.000047,0.000000,0.000049,0.000001,-0.000029,-0.000123,0.000001,0.000069,0.000079,0.000000
-14.420183,0.002083,0.000197,-0.000027,0.000005,0.000601,0.000763,0.000009,0.000077,0.000456,0.000003
-14.254190,0.000831,-0.000429,-0.000012,0.000006,0.000558,0.000434,0.000008,-0.000096,0.000357,0.000004
-13.836758,0.003785,0.001547,0.000948,0.000031,-0.000258,0.000479,0.000032,0.000216,0.000780,0.000010
-13.506132,0.018188,0.000022,-0.000056,0.000014,0.002099,0.002814,0.000043,0.002306,0.010883,0.000063
-13.435925,0.009981,0.001334,0.000248,0.000009,0.000430,0.000925,0.000021,0.002076,0.004911,0.000029
-12.846785,0.023308,0.002890,0.001610,0.000040,-0.003558,0.003177,0.000058,0.006044,0.012979,0.000068
-12.641607,0.012103,0.001005,0.000299,0.000002,0.001416,0.001688,0.000018,0.001547,0.006092,0.000038
-12.077774,0.002111,0.000758,-0.000095,0.000010,0.000101,-0.000113,0.000010,0.000430,0.001005,0.000005
-11.867153,0.005629,0.000158,0.001357,0.000055,-0.000045,0.003521,0.000052,-0.000108,0.000612,0.000026
-10.859493,0.002371,-0.000274,0.000382,0.000017,0.000441,0.001378,0.000012,0.000111,0.000295,0.000010
-10.380290,0.117256,0.039463,0.030319,0.000792,0.020402,0.011283,-0.000069,0.009816,0.005190,0.000059
-10.186540,0.866857,0.291183,0.242209,0.006211,0.156750,0.036527,-0.000825,0.097127,0.037585,0.000089
-9.984899,0.005710,0.001210,0.001327,0.000037,-0.000081,0.001534,0.000006,0.000673,0.000992,0.000012
-9.414808,0.025770,-0.002444,0.003506,0.000127,0.001828,0.015069,0.000059,0.000137,0.007375,0.000113
-9.179424,0.068573,-0.000686,0.007351,0.000390,0.001055,0.035485,0.000137,0.001431,0.023082,0.000328
-9.105679,0.018294,0.000157,0.002232,0.000099,-0.000444,0.009737,0.000032,0.000160,0.006238,0.000083
-8.424563,0.030962,-0.000054,0.003423,0.000120,0.000028,0.012667,0.000056,0.000755,0.013844,0.000122
-8.228365,0.915549,0.023226,0.111212,0.002517,-0.000462,0.172714,0.000340,0.177607,0.425617,0.002778
-8.169315,0.950404,0.003858,0.129728,0.003937,0.002395,0.407741,0.001082,0.040618,0.356916,0.004129
-8.064548,0.856362,0.004774,0.118767,0.003785,-0.003455,0.412982,0.001103,0.006712,0.307670,0.004024
-4.692709,0.975525,0.001906,0.719035,0.000186,0.003686,0.003105,0.016341,-0.003646,0.234649,0.000263
-4.606447,0.989591,0.000330,0.737734,0.000148,-0.000212,0.000777,0.016641,0.000002,0.233894,0.000276
