# M_FACTOR=1.0
# Energy (eV),TDOS,C2S,C2P,C2D,N2S,N2P,N2D,H1S
-2415.238068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-393.493139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-393.012848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-387.203358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-280.773144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-279.869705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-279.328187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-278.915381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-278.582850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-277.126192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.595013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.473648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-276.332145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-213.427526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-158.044847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-157.825518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-157.817899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-30.484243,1.001301,0.424962,0.073709,0.007629,0.453337,0.041028,0.001927,-0.001291
-27.295541,1.000202,0.216204,0.111039,0.014156,0.551664,0.096289,0.000894,0.009957
-23.166392,0.999428,0.626928,0.054152,0.006205,0.021228,0.189244,0.000716,0.100955
-22.778077,0.056815,0.008956,0.026154,0.000195,0.000437,0.010108,0.000103,0.010862
-22.348671,0.959422,0.637434,0.024069,0.003783,-0.003140,0.197936,0.002615,0.096725
-21.664834,0.999247,0.627895,0.062216,0.005165,0.034894,0.105543,0.000903,0.162631
-20.403558,0.999717,0.683883,0.022914,0.004861,0.012603,0.107601,0.000830,0.167025
-18.768661,0.999432,0.247609,0.288502,0.004752,0.018837,0.336146,0.000898,0.102688
-18.441300,0.999628,0.379799,0.229681,0.007056,0.061104,0.138891,0.000381,0.182716
-18.294083,0.011746,-0.003314,0.012967,0.000035,0.000091,0.000344,0.000003,0.001619
-17.713924,0.997712,0.355896,0.301509,0.005622,0.018484,0.083914,0.000501,0.231786
-16.635784,0.997476,0.286861,0.309837,0.005863,0.015565,0.103050,0.000927,0.275373
-15.831125,0.998289,0.302970,0.282598,0.006918,0.007005,0.103695,0.000935,0.294168
-15.124430,0.999953,0.006276,0.452616,0.008345,-0.001207,0.407589,0.000516,0.125818
-14.420183,0.997917,0.062216,0.446408,0.011247,-0.002146,0.191354,0.001472,0.287368
-14.254190,0.999169,0.074108,0.446108,0.012026,-0.000969,0.246541,0.002107,0.219248
-13.836758,0.996215,0.032172,0.532070,0.009763,-0.005527,0.156644,0.001224,0.269869
-13.506132,0.981812,0.025093,0.552584,0.004842,0.001125,0.067855,0.004850,0.325462
-13.435925,0.990019,0.043317,0.511090,0.009212,-0.004330,0.211341,0.001351,0.218038
-12.846785,0.976692,0.032679,0.520737,0.009415,-0.000104,0.077087,0.002249,0.334629
-12.641607,0.987897,0.020485,0.596809,0.009095,0.003861,0.085812,0.001789,0.270045
-12.077774,0.997889,0.018221,0.645567,0.009522,0.000345,0.092992,0.002432,0.228810
-11.867153,0.994371,-0.005383,0.667820,0.005419,0.000438,0.021286,0.001324,0.303467
-10.859493,0.997629,0.008588,0.578878,0.011089,0.001831,0.056490,0.000482,0.340270
-10.380290,0.882744,0.007485,0.467410,0.011679,-0.005796,0.014230,0.000488,0.387248
-10.186540,0.133143,0.009764,0.067721,0.001527,-0.000002,0.000974,0.000076,0.053082
-9.984899,0.994290,-0.004353,0.522793,0.017908,-0.001673,0.346431,0.000322,0.112861
-9.414808,0.974230,0.031877,0.552471,0.017768,0.005960,0.106305,0.000553,0.259296
-9.179424,0.931427,0.001667,0.486040,0.018124,0.000415,0.024168,0.000252,0.400761
-9.105679,0.981706,0.003583,0.532065,0.019283,-0.000583,0.122034,0.000565,0.304759
-8.424563,0.969038,0.002095,0.909242,0.006194,-0.000406,0.025037,0.007207,0.019669
-8.228365,0.084451,-0.021273,0.078757,0.000688,0.001331,0.000120,0.000328,0.024500
-8.169315,0.049596,-0.013325,0.045758,0.000417,0.001058,0.000347,0.000273,0.015068
-8.064548,0.143638,-0.008823,0.094877,0.002612,0.000504,0.002496,0.000188,0.051784
-4.692709,0.024475,0.007677,0.013626,0.000311,0.000278,0.001254,0.000070,0.001259
-4.606447,0.010409,-0.005244,0.016914,0.000075,-0.000309,0.000161,0.000008,-0.001196
